Commission professionnelle consultative;Secteur;Sous-secteur;Niveau;Code diplôme;Diplôme;Intitulé de la spécialité (et options);Code RNCP;Date de l'arrêté de création;Première session;Dernière session
CPC Industrie;Secteur Métallurgie;Sous-secteur Aviation;Niveau 3;500-25306 M;Certificat d'aptitude professionnelle;Aéronautique option systèmes;17483;2013-08-19;2015;
CPC Industrie;Secteur Métallurgie;Sous-secteur;Niveau 3;500-22406 R;Certificat d'aptitude professionnelle;Agent de maintenance des industries de matériaux de construction et connexes;506;1981-06-03;1983;2023
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du bois;Niveau 3;500-23432 V;Certificat d'aptitude professionnelle;Arts du bois option C - marqueteur;519;1983-05-27;1985;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du feu;Niveau 3;500-22428 V;Certificat d'aptitude professionnelle;Arts du verre et du cristal;36426;2009-06-30;2011;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Musique;Niveau 3;500-32313 V;Certificat d'aptitude professionnelle;Assistant technique en instruments de musique option guitare;36255;2001-09-05;2003;
CPC Services et produits de consommation;Secteur Alimentation;Sous-secteur;Niveau 3;500-22137 S;Certificat d'aptitude professionnelle;Boulanger;18704;2014-02-21;2016;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du métal et métiers connexes;Niveau 3;500-22350 V;Certificat d'aptitude professionnelle;Bronzier option B - ciseleur sur bronze;531;1977-07-13;1979;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du métal et métiers connexes;Niveau 3;500-22351 V;Certificat d'aptitude professionnelle;Bronzier option C - tourneur sur bronze;532;1977-07-13;1979;
CPC Services et produits de consommation;Secteur Alimentation;Sous-secteur;Niveau 3;500-22130 S;Certificat d'aptitude professionnelle;Charcutier traiteur;538;1999-10-25;2001;
CPC Industrie;Secteur Chimie, bio-industrie, environnement;Sous-secteur Matériaux;Niveau 3;500-22510 S;Certificat d'aptitude professionnelle;Composites, plastiques chaudronnés;1167;2000-08-21;2002;
CPC Industrie;Secteur Bois et dérivés;Sous-secteur;Niveau 3;500-23443 U;Certificat d'aptitude professionnelle;Conducteur opérateur de scierie;2775;2004-02-16;2006;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur Gros-oeuvre et travaux publics;Niveau 3;500-23222 S;Certificat d'aptitude professionnelle;Constructeur d'ouvrages en béton armé;34742;2019-04-08;2021;
CPC Services et produits de consommation;Secteur Alimentation;Sous-secteur;Niveau 3;500-22140 S;Certificat d'aptitude professionnelle;Crémier - fromager;28799;2017-07-04;2020;
CPC Industrie;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 3;500-25123 U;Certificat d'aptitude professionnelle;Décolletage : opérateur régleur en décolletage;557;1990-01-09;1991;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du bois;Niveau 3;500-23445 S;Certificat d'aptitude professionnelle;Ebéniste;28297;2017-02-27;2019;
CPC Industrie;Secteur Chimie, bio-industrie, environnement;Sous-secteur Matériaux;Niveau 3;500-22002 S;Certificat d'aptitude professionnelle;Employé technique de laboratoire;570;1974-09-25;1975;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du bois;Niveau 3;500-23433 V;Certificat d'aptitude professionnelle;Encadreur;571;1976-09-02;1978;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur Gros-oeuvre et travaux publics;Niveau 3;500-23321 S;Certificat d'aptitude professionnelle;Etancheur du bâtiment et des travaux publics;1141;2002-10-25;2004;2024
CPC Arts, spectacles et médias;Secteur Métiers de la mode et industries connexes;Sous-secteur;Niveau 3;500-24315 S;Certificat d'aptitude professionnelle;Fourrure;584;1998-11-17;2000;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du métal et métiers connexes;Niveau 3;500-25137 V;Certificat d'aptitude professionnelle;Horlogerie;5365;2007-06-26;2009;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 3;500-22714 S;Certificat d'aptitude professionnelle;Installateur en froid et conditionnement d'air;31334;2015-06-02;2017;
CPC Industrie;Secteur Métallurgie;Sous-secteur Automobile, matériel agricole et de travaux publics;Niveau 3;500-25220 R;Certificat d'aptitude professionnelle;Maintenance des véhicules option C - motocycles;19118;2014-04-22;2016;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 3;;Certificat d'aptitude professionnelle;Menuisier aluminium-verre;814;2022-08-29;2025;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du bois;Niveau 3;500-23411 S;Certificat d'aptitude professionnelle;Menuisier en sièges;617;1955-07-01;1956;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Gravure;Niveau 3;500-32221 S;Certificat d'aptitude professionnelle;Métiers de la gravure option B - gravure d'impression;621;1993-03-09;1995;
CPC Industrie;Secteur Métiers de la mode et industries connexes;Sous-secteur;Niveau 3;500-24007 T;Certificat d'aptitude professionnelle;Métiers de l’entretien des textiles, option A : blanchisserie;35808;2020-12-11;2023;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du métal et métiers connexes;Niveau 3;500-22324 S;Certificat d'aptitude professionnelle;Mouleur noyauteur - cuivre et bronze;637;1951-02-22;1953;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du métal et métiers connexes;Niveau 3;500-22340 V;Certificat d'aptitude professionnelle;Orfèvre option A - monteur en orfèvrerie;640;1973-10-15;1976;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du métal et métiers connexes;Niveau 3;500-22341 V;Certificat d'aptitude professionnelle;Orfèvre option B - tourneur repousseur en orfèvrerie;642;1973-10-15;1976;
CPC Industrie;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 3;500-25425 S;Certificat d'aptitude professionnelle;Outillages en moules métalliques;645;1991-08-29;1993;
CPC Services aux entreprises;Secteur Chimie, bio-industrie, environnement;Sous-secteur Chimie, bio-industrie, environnement;Niveau 3;500-22005 U;Certificat d'aptitude professionnelle;Propreté de l'environnement urbain - collecte et recyclage;24650;2015-03-10;2017;
CPC Arts, spectacles et médias;Secteur Métiers de la mode et industries connexes;Sous-secteur;Niveau 3;500-24318 S;Certificat d'aptitude professionnelle;Sellerie générale;667;1998-12-17;2000;
CPC Arts, spectacles et médias;Secteur Communication graphique et audiovisuel;Sous-secteur;Niveau 3;500-32225 V;Certificat d'aptitude professionnelle;Sérigraphie industrielle;671;1999-01-12;2000;
CPC Industrie;Secteur Métallurgie;Sous-secteur Electrotechnique, électronique, automatisme et informatique;Niveau 3;500-25134 U;Certificat d'aptitude professionnelle;Transport par câbles et remontées mécaniques;681;1999-10-21;2001;2024
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du bois;Niveau 3;500-23438 S;Certificat d'aptitude professionnelle;Vannerie;1176;2001-09-05;2003;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Spectacles;Niveau 4;420-32306 V;Diplôme;Technicien des métiers du spectacle option machiniste constructeur;806;1997-03-10;1998;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Spectacles;Niveau 4;420-24210 V;Diplôme;Technicien des métiers du spectacle option techniques de l'habillage;1136;1997-03-10;1998;
CPC Mer et navigation intérieure;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 4;420-25404 N;Diplôme;Traceur en construction navale;en cours;1985-07-31;1986;
CPC Services aux entreprises;Secteur Métallurgie;Sous-secteur Automobile, matériel agricole et de travaux publics;Niveau 5;322-25202 R;Diplôme;Expert en automobile;2829;2012-07-31;2014;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du métal et métiers connexes;Niveau 5;321-22301 V;Diplôme des métiers d'art;Art du bijou et du joyau;819;2001-07-05;2003;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Spectacles;Niveau 5;321-32313 V;Diplôme des métiers d'art;Marionnette;839;1990-09-12;1993;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Art textile et mode;Niveau 5;321-24101 V;Diplôme des métiers d'art;Textiles et céramiques option arts textiles;840;1987-07-17;1989;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du bois;Niveau 3;010-24202 S;Mention complémentaire de niveau 3;Décors textiles permanents et éphémères;5632;2008-02-18;2009;2023
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts de la reliure;Niveau 3;010-34201 M;Mention complémentaire de niveau 3;Entretien des collections du patrimoine;5638;2008-03-04;2009;
CPC Services et produits de consommation;Secteur Alimentation;Sous-secteur;Niveau 3;010-22110 S;Mention complémentaire de niveau 3;Pâtisserie - glacerie-chocolaterie-confiserie spécialisées;6895;2009-04-09;2010;
CPC Services et produits de consommation;Secteur Alimentation;Sous-secteur;Niveau 3;010-22108 S;Mention complémentaire de niveau 3;Pâtisserie boulangère;2444;2004-05-04;2005;
CPC Services et produits de consommation;Secteur Tourisme, hôtellerie, restauration;Sous-secteur;Niveau 3;010-33410 T;Mention complémentaire de niveau 3;Sommellerie;6985;1996-07-31;1997;
CPC Commerce;Secteur Commercialisation et distribution;Sous-secteur;Niveau 3;;Mention complémentaire de niveau 3;Vendeur-Conseil en alimentation;;2022-06-23;2023;
CPC Services et produits de consommation;Secteur Tourisme, hôtellerie, restauration;Sous-secteur;Niveau 4;010-33413 T;Mention complémentaire de niveau 4;Accueil - réception;6926;2008-03-31;2009;
CPC Industrie;Secteur Métallurgie;Sous-secteur Aviation;Niveau 4;010-25312 R;Mention complémentaire de niveau 4;Aéronautique option avionique;29133;2015-02-18;2016;
CPC Industrie;Secteur Métallurgie;Sous-secteur Aviation;Niveau 4;010-25309 R;Mention complémentaire de niveau 4;Aéronautique option avions à moteurs à pistons;29136;2015-02-18;2016;
CPC Arts, spectacles et médias;Sous-secteur Arts du métal et métiers connexes;;Niveau 3;;Mention complémentaire de niveau 3;Bijoux de mode;;;2024;
CPC Commerce;Secteur Commercialisation et distribution;Sous-secteur;Niveau 4;010-31201 T;Mention complémentaire de niveau 4;Assistance conseil - vente a distance;1173;2001-06-15;2001;
CPC Sport et animation;Secteur;Sous-secteur;Niveau 4;010-33503 M;Mention complémentaire de niveau 4;Encadrement secteur sportif option activités aquatiques et de la natation;;2022-01-14;2023;
CPC Industrie;Secteur Métallurgie;Sous-secteur Electrotechnique, électronique, automatisme et informatique;Niveau 4;010-25123 R;Mention complémentaire de niveau 4;Maintenance des installations oléo hydrauliques et pneumatiques;36332;2002-08-01;2003;
CPC Services aux entreprises;Secteur Services administratifs et financiers;Sous-secteur;Niveau 4;010-31301 T;Mention complémentaire de niveau 4;Services financiers;852;2002-06-28;2003;2023
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 4;010-22705 S;Mention complémentaire de niveau 4;Technicien en énergies renouvelables option B - énergie thermique;15009;2010-04-20;2011;
CPC Industrie;Secteur Métallurgie;Sous-secteur Aviation;Niveau 4;010-25409 S;Mention complémentaire de niveau 4;Technicien en peinture aéronautique;34870;2020-02-18;2020;
CPC Cohésion sociale et santé;Secteur;Sous-secteur;Niveau 4;400-33007 T;Baccalauréat professionnel;Accompagnement soins et services à la personne;37231;2022-02-02;2025;
CPC Cohésion sociale et santé;Secteur Sanitaire et social, médico-social;Sous-secteur;Niveau 4;400-33003 T;Baccalauréat professionnel;Accompagnement soins et services à la personne option A - à domicile;12296;2011-05-11;2014;2024
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur;Niveau 4;400-24202 V;Baccalauréat professionnel;Artisanat et métiers d'art option tapissier d'ameublement;751;1990-09-27;1992;
CPC Agriculture, agroalimentaire et aménagement des espaces;Secteur Chimie, bio-industrie, environnement;Sous-secteur Contrôle;Niveau 4;400-22003 U;Baccalauréat professionnel;Bio-industries de transformation;7586;2009-09-01;2012;
CPC Services et produits de consommation;Secteur Alimentation;Sous-secteur;Niveau 4;400-22104 S;Baccalauréat professionnel;Boucher charcutier traiteur;7067;2009-06-24;2011;
CPC Industrie;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 4;400-20002 N;Baccalauréat professionnel;Etude et définition de produits industriels;763;1999-07-28;2001;2024
CPC Arts, spectacles et médias;Secteur Communication graphique et audiovisuel;Sous-secteur;Niveau 4;400-32206 S;Baccalauréat professionnel;Façonnage de produits imprimés, routage;12114;2011-04-26;2014;
CPC Industrie;Secteur Métallurgie;Sous-secteur Electrotechnique, électronique, automatisme et informatique;Niveau 4;400-25510 P;Baccalauréat professionnel;Métiers de l'électricité et de ses environnements connectes;25353;2016-03-01;2019;
CPC Industrie;Secteur Métiers de la mode et industries connexes;Sous-secteur;Niveau 4;400-24007 T;Baccalauréat professionnel;Métiers de l'entretien des textiles, option A : blanchisserie;35807;2020-12-11;2024;
CPC Industrie;Secteur Métiers de la mode et industries connexes;Sous-secteur;Niveau 4;400-24302 S;Baccalauréat professionnel;Métiers du cuir option maroquinerie;24740;2009-05-19;2011;
CPC Industrie;Secteur Métallurgie;Sous-secteur;Niveau 4;400-20009 N;Baccalauréat professionnel;Modélisation et prototypage 3D;36191;2022-01-18;2025;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur Gros-oeuvre et travaux publics;Niveau 4;400-23004 P;Baccalauréat professionnel;Technicien d'études du bâtiment option A - études et économie;5641;2008-04-08;2010;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur Gros-oeuvre et travaux publics;Niveau 4;400-23005 N;Baccalauréat professionnel;Technicien d'études du bâtiment option B - assistant en architecture;5640;2008-04-08;2010;
CPC Industrie;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 4;400-25114 S;Baccalauréat professionnel;Technicien en réalisation de produits mécaniques, option Réalisation et suivi de productions;35697;2020-12-09;2023;
CPC Industrie;Secteur Chimie, bio-industrie, environnement;Sous-secteur Contrôle;Niveau 4;400-34305 R;Baccalauréat professionnel;Techniques d'interventions sur installations nucléaires;19132;2014-03-12;2017;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du métal et métiers connexes;Niveau 4;401-25402 S;Brevet des métiers d'arts;Ferronnier d'art;24642;2014-03-12;2016;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Musique;Niveau 4;401-25401 V;Brevet des métiers d'arts;Technicien en facture instrumentale option instruments à vents;36340;2003-07-08;2005;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du bois;Niveau 4;450-24106 S;Brevet professionnel;Ameublement option tapisserie décoration;966;1997-08-01;1998;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 4;450-23316 S;Brevet professionnel;Carreleur mosaïste;31216;2018-04-03;2020;
CPC Construction;Secteur Bois et dérivés;Sous-secteur;Niveau 4;450-23409 S;Brevet professionnel;Charpentier bois;18321;2014-02-03;2016;
CPC Industrie;Secteur Métallurgie;Sous-secteur Electrotechnique, électronique, automatisme et informatique;Niveau 4;450-25516 S;Brevet professionnel;Electricien;27774;2017-01-12;2019;
CPC Commerce;Secteur Commercialisation et distribution;Sous-secteur;Niveau 4;450-31206 T;Brevet professionnel;Fleuriste;4551;2006-09-12;2008;2023
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du métal et métiers connexes;Niveau 4;450-22306 V;Brevet professionnel;Gemmologue;991;1999-07-27;2000;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 4;450-22710 S;Brevet professionnel;Installateur, dépanneur en froid et conditionnement d'air;32241;2014-03-12;2016;
CPC Industrie;Secteur Métiers de la mode et industries connexes;Sous-secteur;Niveau 4;450-24005 T;Brevet professionnel;Maintenance des articles textiles option pressing;998;1998-07-29;1999;2023
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 4;450-23215 M;Brevet professionnel;Métiers de la piscine;31214;2017-03-01;2019;
CPC Arts, spectacles et médias;Secteur Métiers de la mode et industries connexes;Sous-secteur;Niveau 4;450-24214 S;Brevet professionnel;Vêtement sur mesure option couture flou;1014;1994-11-21;1995;
CPC Arts, spectacles et médias;Secteur Métiers de la mode et industries connexes;Sous-secteur;Niveau 4;450-24216 S;Brevet professionnel;Vêtement sur mesure option tailleur homme;1016;1994-11-21;1995;
CPC Industrie;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 5;320-25416 P;Brevet de technicien supérieur;Architectures en métal : conception et réalisation;35336;2018-02-19;2020;
CPC Services aux entreprises;Secteur Services administratifs et financiers;Sous-secteur;Niveau 5;320-31311 T;Brevet de technicien supérieur;Assurance;35473;2017-02-13;2019;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur Gros-oeuvre et travaux publics;Niveau 5;320-23012 M;Brevet de technicien supérieur;Bâtiment;1122;2011-06-23;2013;
CPC Industrie;Secteur Chimie, bio-industrie, environnement;Sous-secteur Contrôle;Niveau 5;320-22104 R;Brevet de technicien supérieur;Biotechnologies;1033;2006-11-08;2009;
CPC Services aux entreprises;Secteur Services administratifs et financiers;Sous-secteur;Niveau 5;320-34502 P;Brevet de technicien supérieur;Collaborateur juriste notarial;En cours;2021-12-13;2024;
CPC Commerce;Secteur Commercialisation et distribution;Sous-secteur;Niveau 5;320-31215 T;Brevet de technicien supérieur;Commerce international;en cours;2020-11-25;2023;
CPC Industrie;Secteur Métallurgie;Sous-secteur Automobile, matériel agricole et de travaux publics;Niveau 5;320-25411 M;Brevet de technicien supérieur;Conception et réalisation de carrosserie;1041;2013-04-08;2015;
CPC Cohésion sociale et santé;Secteur Sanitaire et social, médico-social;Sous-secteur;Niveau 5;320-33103 T;Brevet de technicien supérieur;Diététique;1045;1987-11-06;1989;
CPC Arts, spectacles et médias;Secteur Communication graphique et audiovisuel;Sous-secteur;Niveau 5;320-32210 S;Brevet de technicien supérieur;Etudes de réalisation d'un projet de communication option A études de réalisation de produits pluri média;35474;2016-06-07;2019;
CPC Industrie;Secteur Métallurgie;Sous-secteur Electrotechnique, électronique, automatisme et informatique;Niveau 5;320-25010 R;Brevet de technicien supérieur;Maintenance des systèmes option A systèmes de production;35338;2018-02-19;2020;2023
CPC Industrie;Secteur Métallurgie;Sous-secteur Automobile, matériel agricole et de travaux publics;Niveau 5;320-25217 R;Brevet de technicien supérieur;Maintenance des véhicules option C : motocycles;35460;2016-02-11;2018;
CPC Arts, spectacles et médias;Secteur Communication graphique et audiovisuel;Sous-secteur;Niveau 5;320-32330 V;Brevet de technicien supérieur;Métiers de l'audiovisuel option métiers du son;20682;2013-06-04;2016;
CPC Industrie;Secteur Métiers de la mode et industries connexes;Sous-secteur;Niveau 5;320-24305 M;Brevet de technicien supérieur;Métiers de la mode - chaussure et maroquinerie;35468;2012-02-07;2014;
CPC Cohésion sociale et santé;Secteur Sanitaire et social, médico-social;Sous-secteur;Niveau 5;320-33107 W;Brevet de technicien supérieur;Opticien lunetier;1084;1997-09-03;1999;
CPC Cohésion sociale et santé;Secteur Sanitaire et social, médico-social;Sous-secteur;Niveau 5;320-33108 S;Brevet de technicien supérieur;Podo-orthésiste;1088;1997-07-28;1998;
CPC Cohésion sociale et santé;Secteur Sanitaire et social, médico-social;Sous-secteur;Niveau 5;320-33104 S;Brevet de technicien supérieur;Prothésiste orthésiste;1097;1972-10-02;1975;
CPC Industrie;Secteur Métallurgie;Sous-secteur Electrotechnique, électronique, automatisme et informatique;Niveau 5;320-20112 M;Brevet de technicien supérieur;Systèmes numériques option A : informatique et réseaux;35341;2013-11-15;2016;
CPC Industrie;Secteur Métallurgie;Sous-secteur Electrotechnique, électronique, automatisme et informatique;Niveau 5;320-25519 M;Brevet de technicien supérieur;Systèmes photoniques;35394;2015-06-03;2017;
CPC Services et produits de consommation;Secteur Tourisme, hôtellerie, restauration;Sous-secteur;Niveau 5;320-33426 M;Brevet de technicien supérieur;Tourisme;35331;2019-03-05;2021;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur Gros-oeuvre et travaux publics;Niveau 5;320-23107 S;Brevet de technicien supérieur;Travaux publics;1109;2011-06-23;2013;
CPC Services aux entreprises;Secteur Chimie, bio-industrie, environnement;Sous-secteur Chimie, bio-industrie, environnement;Niveau 3;500-34307 T;Certificat d'aptitude professionnelle;Agent de propreté et d'hygiène;24655;2013-12-23;2016;
CPC Industrie;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 3;500-25136 S;Certificat d'aptitude professionnelle;Armurerie (fabrication et réparation);513;2004-02-16;2005;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du métal et métiers connexes;Niveau 3;500-22363 V;Certificat d'aptitude professionnelle;Art et techniques de la bijouterie-joaillerie option polissage-finition;36336;2008-03-18;2010;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Art textile et mode;Niveau 3;500-24231 V;Certificat d'aptitude professionnelle;Arts du tapis et de la tapisserie de lisse;520;1991-07-19;1993;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur Gros-oeuvre et travaux publics;Niveau 3;500-23118 U;Certificat d'aptitude professionnelle;Conducteur d'engins : travaux publics et carrières;4463;2006-03-24;2008;2024
CPC Industrie;Secteur Métallurgie;Sous-secteur;Niveau 3;500-20101 U;Certificat d'aptitude professionnelle;Conducteur d'installations de production;36429;2012-03-30;2014;
CPC Services et produits de consommation;Secteur Métiers de la mode et industries connexes;Sous-secteur;Niveau 3;500-24320 S;Certificat d'aptitude professionnelle;Cordonnerie multiservice;3112;2005-03-17;2007;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 3;500-23223 S;Certificat d'aptitude professionnelle;Couvreur;35889;2021-03-30;2023;
CPC Services et produits de consommation;Secteur Tourisme, hôtellerie, restauration;Sous-secteur;Niveau 3;500-22139 T;Certificat d'aptitude professionnelle;Cuisine;26650;2016-03-17;2018;
CPC Industrie;Secteur Métallurgie;Sous-secteur Electrotechnique, électronique, automatisme et informatique;Niveau 3;500-25524 S;Certificat d'aptitude professionnelle;Electricien;30328;2018-02-08;2020;
CPC Industrie;Secteur Chimie, bio-industrie, environnement;Sous-secteur Chimie, bio-industrie, environnement;Niveau 3;500-22201 S;Certificat d'aptitude professionnelle;Industries chimiques;591;1991-08-07;1993;
CPC Agriculture, agroalimentaire et aménagement des espaces;Secteur Métallurgie;Sous-secteur Automobile, matériel agricole et de travaux publics;Niveau 3;500-25221 R;Certificat d'aptitude professionnelle;Maintenance des matériels option A - matériels agricoles;29656;2016-03-24;2018;
CPC Agriculture, agroalimentaire et aménagement des espaces;Secteur Métallurgie;Sous-secteur Automobile, matériel agricole et de travaux publics;Niveau 3;500-25223 R;Certificat d'aptitude professionnelle;Maintenance des matériels option C: matériels d'espaces verts;29638;2016-03-24;2018;
CPC Industrie;Secteur Métallurgie;Sous-secteur Automobile, matériel agricole et de travaux publics;Niveau 3;500-25219 R;Certificat d'aptitude professionnelle;Maintenance des véhicules option B - véhicules de transport routier;19118;2014-04-22;2016;
CPC Industrie;Secteur Métiers de la mode et industries connexes;Sous-secteur;Niveau 3;500-24008 T;Certificat d'aptitude professionnelle;Métiers de l’entretien des textiles, option B : pressing;15860;2020-12-11;2023;
CPC Construction;Secteur Métallurgie;Sous-secteur Travail des métaux;Niveau 3;500-23302 S;Certificat d'aptitude professionnelle;Monteur en isolation thermique et acoustique;633;1987-06-15;1988;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du métal et métiers connexes;Niveau 3;500-22354 V;Certificat d'aptitude professionnelle;Orfèvre option D - planeur en orfèvrerie;643;1980-05-06;1981;
CPC Services et produits de consommation;Secteur Alimentation;Sous-secteur;Niveau 3;500-22141 S;Certificat d'aptitude professionnelle;Pâtissier;35316;2019-03-06;2021;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur;Niveau 3;500-23327 S;Certificat d'aptitude professionnelle;Peintre applicateur de revêtements;30956;2019-04-08;2021;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Art textile et mode;Niveau 3;500-24125 S;Certificat d'aptitude professionnelle;Rentrayeur option a - tapis;1132;1975-05-30;1976;
CPC Industrie;Secteur Métallurgie;Sous-secteur Automobile, matériel agricole et de travaux publics;Niveau 3;500-25434 S;Certificat d'aptitude professionnelle;Réparation des carrosseries;4935;2007-03-19;2009;
CPC Mer et navigation intérieure;Secteur Métallurgie;Sous-secteur Automobile, matériel agricole et de travaux publics;Niveau 3;500-25217 R;Certificat d'aptitude professionnelle;Réparation entretien des embarcations de plaisance;4937;2007-03-20;2009;
CPC Arts, spectacles et médias;Secteur Métiers de la mode et industries connexes;Sous-secteur;Niveau 3;500-24321 S;Certificat d'aptitude professionnelle;Sellier harnacheur;19292;2014-04-29;2016;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du feu;Niveau 3;500-22430 V;Certificat d'aptitude professionnelle;Souffleur de verre option verrerie scientifique;6603;2009-05-12;2011;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Environnement;Niveau 3;500-23311 V;Certificat d'aptitude professionnelle;Staffeur ornemaniste;36427;1993-03-05;1995;
CPC Construction;Secteur Bâtiment, travaux publics, matériaux de construction;Sous-secteur Gros-oeuvre et travaux publics;Niveau 3;500-23220 S;Certificat d'aptitude professionnelle;Tailleur de pierre;16129;2013-02-06;2015;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du bois;Niveau 3;500-23435 S;Certificat d'aptitude professionnelle;Tonnellerie;679;1993-07-28;1994;
CPC Arts, spectacles et médias;Secteur Métiers de la mode et industries connexes;Sous-secteur;Niveau 3;500-24319 S;Certificat d'aptitude professionnelle;Vêtement de peau;453;1998-08-21;2000;
CPC Arts, spectacles et médias;Secteur Communication graphique et audiovisuel;Sous-secteur;Niveau 5;321-32207 V;Diplôme des métiers d'art;Arts graphiques option : illustration;827;1998-07-30;2000;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Spectacles;Niveau 5;321-32301 V;Diplôme des métiers d'art;Cirque;838;1989-10-27;1992;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Arts du feu;Niveau 5;321-22402 V;Diplôme des métiers d'art;Décor architectural option arts du verre et du cristal;5291;2007-06-19;2009;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Environnement;Niveau 5;321-23006 V;Diplôme des métiers d'art;Décor architectural option D : domaine des matériaux de synthèse;844;1987-07-16;1989;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Musique;Niveau 5;321-23412 V;Diplôme des métiers d'art;Facture instrumentale option guitare;6899;2009-04-08;2011;
CPC Arts, spectacles et médias;Secteur Arts appliqués;Sous-secteur Spectacles;Niveau 5;321-32317 M;Diplôme des métiers d'art;Régie du spectacle option son;4000;2002-07-09;2004;
CPC Cohésion sociale et santé;Secteur Sanitaire et social, médico-social;Sous-secteur;Niveau 3;010-33001 T;Mention complémentaire de niveau 3;Aide à domicile;718;1995-07-28;1997;
CPC Services et produits de consommation;Secteur Tourisme, hôtellerie, restauration;Sous-secteur;Niveau 3;010-22109 T;Mention complémentaire de niveau 3;Art de la cuisine allégée;4083;2006-03-24;2007;
CPC Services et produits de consommation;Secteur Coiffure, esthétique et services connexes;Sous-secteur;Niveau 3;010-33605 T;Mention complémentaire de niveau 3;Coiffure coupe couleur;29025;2015-03-23;2016;
